Konstantin 21.5.
Kristel 24.7.
Krister 13.11.
Kristian 13.11.
Kristina 24.7.
Kristoffer 15.3.
Kurt 12.11.
Laila 5.3.
Lars 10.8.
Laura 18.1.
Lea 5.1.
Leif 30.6.
Leila 5.3.
Lena 22.7.
Lennart 28.9.
Leo 28.6.
Leonard 28.9.
Leonora 11.7.
Leopold 28.6.
Lilian 20.5.
Lilli 20.5.
Lina 22.6.
Linda 15.4.
Linnea 3.8.
Lisa 19.11.
Lisbet 19.11.
Lotta 12.5.
Lotten 12.5.
Louise 25.8.
Lovisa 25.8.
Lucia 13.12.
Ludvig 2.10.
Lydia 23.5.
Magdalena 22.7.
Magna 8.12.
Magnhild 8.12.
Magnus 19.8.
Maj 2.7.
Maja 2.7.
Malin 22.7.
Manne 26.3.
Margareta 20.7.
Margit 20.7.
Maria 2.7.
Marianne 4.2.
Marika 2.7.
Marina 9.10.
Marita 15.8.
Markus 25.4.
Marta 26.7.
Martin 10.11.
Martina 10.11.
Matilda 14.3.
Mats 24.2.
Mattias 24.2.
Mauritz 22.9.
Max 18.11.
Mia 30.4.
Mikael 29.9.
Mikaela 29.9.
Mili 19.5.
Minna 26.5.
Mirjam 30.4.
Mona 15.6.
Monika 15.6.
Moritz 22.9.
Måns 19.8.
Mårten 10.11.
Märit 26.8.
Märta 26.8.
Nanna 9.7.
Nanny 9.7.
Niklas 6.12.
Nils 6.12.
Nina 26.10.
Ninni 26.10.
Nora 11.7.
Odin 4.4.
Olav 29.7.
Ole 29.7.
Olga 23.7.
Oliver 29.5.
Olivia 29.5.
Olle 29.7.
Olof 29.7.
Orvar 29.5.
Oskar 1.12.
Ossian 17.7.
Osvald 11.1.
Otto 17.4.
Ove 14.12.
Pamela 18.9.
Patricia 16.4.
Patrik 16.4.
Paul 25.1.
Paula 22.6.
Paulina 22.6.
Per 29.6.
Pernilla 29.6.
Peter 29.6.
Petra 29.6.
Petter 29.6.
Pia 28.12.
Pontus 20.11.
Rabbe 1.6.
Rafael 22.12.
Ragna 15.7.
Ragnar 1.10.
Ragnborg 20.2.
Ragnhild 15.7.
Ragni 15.7.
Ragnvald 5.9.
Rainer 1.10.
Rakel 17.12.
Ralf 27.8.
Rasmus 3.5.
Rea 8.4.
Regina 7.9.
Reinhold 16.7.
Rigmor 8.2.
Rikard 7.2.
Rita 17.2.
Robert 7.6.
Robin 7.6.
Roger 30.9.
Roland 4.9.
Rolf 6.3.
Ronald 5.9.
Ronny 5.9.
Rosa 4.5.
Roy 7.9.
Ruben 14.4.
Rudolf 6.3.
Runa 28.2.
Runar 15.9.
Rune 28.2.
Rurik 30.5.
Rut 4.1.
Sabina 27.10.
Saga 18.10.
Saima 10.7.
Saimi 10.7.
Sally 19.7.
Sam 20.8.
Samuel 20.8.
Sandra 11.9.
Sanna 11.8.
Sara 19.7.
Sebastian 20.1.
Selim 4.6.
Selma 5.12.
Severin 23.10.
Sigfrid 15.2.
Signe 23.8.
Signhild 23.8.
Sigrid 19.6.
Sigurd 10.1.
Sigvard 25.9.
Simon 28.10.
Siri 19.6.
Siv 24.11.
Sixten 6.8.
Sofia 15.5.
Solveig 3.9.
Sonja 15.5.
Staffan 26.12.
Stefan 26.12.
Stella 16.10.
Sten 28.11.
Stig 5.6.
Stina 24.7.
Sture 5.2.
Styrbjörn 8.11.
Sune 28.3.
Susanna 11.8.
Svante 10.6.
Svea 14.8.
Sven 21.8.
Sverker 15.12.
Sylvester 31.12.
Sylvia 8.8.
Synnöve 2.9.
Sören 23.10.
Tage 30.3.
Tea 6.2.
Tekla 23.9.
Teodor 9.11.
Terese 26.4.
Teresia 26.4.
Theo 9.11.
Tina 24.7.
Tobias 2.11.
Tom 21.12.
Tomas 21.12.
Tommy 21.12.
Tony 17.1.
