Ábel 2.1.
Kearte 17.3.
Kirste 24.7.
Lágon 12.10.
Láidná 8.2.
Láilá 5.3.
Lájár 10.8.
Lárá 13.7.
Láras 10.8.
Lársa 10.8.
Lásse 10.8.
Lávo 7.7.
Lávra 10.8.
Lávrá 18.1.
Lávrras 10.8.
Lávrrohaš 4.3.
Leaifa 30.6.
Leainná 22.7.
Leammá 23.1.
Leammu 23.1.
Leandu 5.8.
Ledjo 28.6.
Lejá 5.1.
Lejo 28.6.
Lemet 23.1.
Lemmá 23.1.
Lená 22.7.
Lenne 28.9.
Lieđđi 14.11.
Liisá 19.11.
Liissá 19.11.
Liljá 20.5.
Lindá 15.4.
Linne 3.8.
Livli 23.5.
Lohcca 12.5.
Lohttá 12.5.
Lottá 12.5.
Luviissá 25.8.
Máddjá 2.7.
Máde 24.2.
Mággá 20.7.
Magredá 20.7.
Máhtte 24.2.
Máidna 5.5.
Máidnu 5.9.
Máijá 2.7.
Máilá 17.5.
Máire 1.8.
Máren 9.10.
Máret 20.7.
Márgget 20.7.
Mariánná 4.2.
Mariánne 4.2.
Marihttá 15.8.
Márjá 2.7.
Márjjá 2.7.
Márkkos 25.4.
Mártá 26.7.
Márte 10.11.
Matildá 14.3.
Mávdná 8.12.
Mávdnos 19.8.
Mávnnel 8.12.
Mávra 22.9.
Mávrres 22.9.
Meartá 26.8.
Mellet 16.8.
Meret 26.8.
Merjá 27.4.
Mielat 23.9.
Migot 29.9.
Mihka 17.8.
Mihkil 29.9.
Mihkkal 29.9.
Mihkkil 29.9.
Mihkku 29.9.
Miijá 30.4.
Miinná 26.5.
Mikkal 29.9.
Mikkol 29.9.
Miljá 19.5.
Milot 23.9.
Mimmi 26.5.
Minná 26.5.
Mirjá 30.4.
Mohkku 16.3.
Mokci 28.7.
Morten 10.11.
Mortu 10.11.
Mures 22.9.
Náhkol 11.3.
Náinnas 15.9.
Naná 21.9.
Nanit 11.5.
Nánná 9.7.
Nánni 9.7.
Násti 16.10.
Nibá 6.12.
Nigá 6.12.
Nigo 6.12.
Nihkke 6.12.
Nihkko 6.12.
Nihkolávo 7.7.
Niillas 6.12.
Nilá 6.12.
Nillá 6.12.
Nilsa 6.12.
Niná 1.6.
Njáveš 2.2.
Njulgu 11.1.
Norá 11.7.
Nuhtte 13.1.
Nunná 8.7.
Nuvtte 13.1.
Oajá 21.10.
Oaván 17.6.
Oge 8.5.
Oggi 8.9.
Oijá 29.5.
Oile 23.7.
Olá 29.7.
Olen 29.7.
Olet 29.7.
Olgá 23.7.
Olle 29.7.
Orddot 10.6.
Oskár 1.12.
Osku 30.3.
Otto 17.4.
Ovllá 29.7.
Piera 29.6.
Piijá 28.12.
Poalla 25.1.
Ráffo 22.12.
Ráfi 29.12.
Ráhkel 17.12.
Ráidner 26.1.
Ráijá 9.2.
Rálfa 27.8.
Ránso 4.10.
Rásmos 3.5.
Rássa 3.10.
Rástoš 3.5.
Rásttoš 3.5.
Rávdná 15.7.
Rávdnár 1.10.
Rávle 27.8.
Reaidnu 16.7.
Rede 18.7.
Regiinná 7.9.
Riggu 10.4.
Rihttá 1.2.
Riibma 9.9.
Riigu 12.3.
Riittá 1.2.
Rijá 5.11.
Rikkar 7.2.
Risten 24.7.
Ristiinná 24.7.
Robe 7.6.
Robearta 7.6.
Rolfa 6.3.
Ruben 14.4.
Ruhte 4.1.
Ruigi 6.10.
Ruvsá 4.5.
Sáben 27.10.
Sábin 27.10.
Sáddja 13.12.
Sáhkár 14.1.
Sáibmi 10.7.
Sálá 8.6.
Sálbmo 8.6.
Sálmmo 8.6.
Sámmol 20.8.
Sánná 11.8.
Sárá 19.7.
Sáráhkká 27.5.
Sárra 9.11.
Sárrajuoksa 9.5.
Sávlos 27.3.
Seará 16.12.
Selbmá 5.12.
Selen 4.6.
Selggo 24.1.
Seljo 22.11.
Sierge 23.10.
Siiggur 10.1.
Siinná 2.9.
Siivár 25.9.
Sikká 19.6.
Silvá 8.8.
Silvu 31.12.
Simit 28.10.
Simmá 28.10.
Simmon 28.10.
Sire 12.6.
Siru 30.9.
Sivdda 15.2.
Sive 24.11.
Sivnne 23.8.
Soabá 25.10.
Sofe 15.5.
Soffá 15.5.
Sojá 14.8.
Soljá 15.1.
Solla 15.1.
Sonjá 15.5.
Speaidna 21.8.
Sunná 11.8.
Suoinná 28.11.
Suonjar 18.10.
Susánna 11.8.
Susánná 11.8.
Teresá 26.4.
Tiinná 24.7.
Tildá 14.3.
Tobejas 2.11.
Tuá 7.5.
Uđđi 6.8.
Uđjjus 14.12.
Uhkku 4.4.
Uksáhkká 8.4.
Ullá 4.7.
Ulmmá 5.7.
Unni 26.11.
Urbán 25.5.
Uvllá 29.7.
Vábo 1.5.
Válbor 1.5.
Válde 18.4.
Valljáš 27.1.
Vállju 2.10.
Válter 29.1.
Várbu 20.9.
Várvá 5.4.
Veaidnu 17.2.
Veaiku 9.1.
Venlá 2.6.
Verá 4.8.
Vide 31.8.
Viggu 15.6.
Viivvá 2.5.
Viktor 22.3.
Vilbmá 26.5.
Vilhealbma 6.4.
Ville 6.4.
Virba 12.11.
Virvá 2.3.
Volbmar 18.4.
Vulle 29.7.
Vuohkku 2.5.
Vuoitu 14.2.
Vuolát 29.7.
Vuollá 29.7.
